Tanggal/Waktu,Isi Dokumen / Abstrak,Hasil Kategori
2026-06-26 03:05:29,Available online at www.medicinescience.org Medicine Science International ORIGINAL ARTICLE Medical Journal Medicine Science 2021;10(4):1162-7 Human r...,MEDICAL
2026-06-26 03:06:00,Abstract: Problem statement: Handling numerical data stored in a relational database has been performed differently from handling those numerical data...,COMPUTER SCIENCE
2026-06-26 03:10:34,International Journal of Economics and Financial Issues ISSN: 2146-4138 available at http: www.econjournals.com International Journal of Economics and...,ECONOMY
2026-06-26 03:19:34,"Journal of Computer Science 6 (10): 1070-1078, 2010 ISSN 1549-3636 © 2010 Science Publications Connected Component Labeling Using Components Neighbors...",COMPUTER SCIENCE
2026-06-26 09:23:49,"Journal of Computer Science 6 (10): 1070-1078, 2010 ISSN 1549-3636 © 2010 Science Publications Connected Component Labeling Using Components Neighbors...",COMPUTER SCIENCE
2026-06-26 09:27:04,Abstract: This article looks at one of the evolving crimes of the digital age; identity theft. It argues and explains that if three key technologies w...,COMPUTER SCIENCE
2026-06-26 09:28:23,"DECODE: Jurnal Pendidikan Teknologi Informasi ISSN Cetak : 2775-2984 | ISSN Online : 2775-1813 Vol. 3, No. 2, September 2023, Hal: 161-171, Doi: http:...",COMPUTER SCIENCE
2026-06-26 09:30:18,i Utilizing the Transcendental Ontological Pedagogical Paradigm (TOP-P) to Teach Counseling Theories to Novice Clinicians Sylvester R. Smith North Car...,MEDICAL
2026-06-26 09:31:16,i Utilizing the Transcendental Ontological Pedagogical Paradigm (TOP-P) to Teach Counseling Theories to Novice Clinicians Sylvester R. Smith North Car...,MEDICAL
2026-06-26 09:32:38,"Pandemi COVID-19 tidak luput dari kerugian-kerugian yang dirasakan masyarakat baik secara finansial, mental, maupun psikologis. Salah satu, kerugian a...",MEDICAL
2026-06-26 09:37:30,"JMK, VOL. 17, NO. 1, MARET 2015, 76–85 DOI: 10.9744/jmk.17.1.76–85 ISSN 1411-1438 print / ISSN 2338-8234 online TINGKAT LITERASI KEUANGAN PADA MAHASIS...",ECONOMY
2026-06-26 09:39:45,"Pandemi COVID-19 tidak luput dari kerugian-kerugian yang dirasakan masyarakat baik secara finansial, mental, maupun psikologis. Salah satu, kerugian a...",MEDICAL
2026-07-13 19:54:53,JURNAL TEKNOLOGI TERPADU VOL.13 NO.1 APRIL 2025 ISSN 2338 - 6649 Received: Desember 2024 Accepted: Maret 2025 Published: April 2025 Perancangan Sistem...,COMPUTER SCIENCE
2026-07-13 19:57:14,JURNAL TEKNOLOGI TERPADU VOL.13 NO.1 APRIL 2025 ISSN 2338 - 6649 Received: Desember 2024 Accepted: Maret 2025 Published: April 2025 Perancangan Sistem...,COMPUTER SCIENCE
2026-07-13 20:04:50,"JATI (Jurnal Mahasiswa Teknik Informatika) Vol. 8 No. 4, Agustus 2024 PEMANFAATAN METODE PROTOTYPE DALAM PERANCANGAN SISTEM INFORMASI PENJUALAN BERBAS...",COMPUTER SCIENCE
2026-07-13 20:10:52,"I Made Adi Wira Surya Kencana1*, Made Adi Paramartha Putra2, I Nyoman Purnama3 Advances in information technology have changed the way companies opera...",COMPUTER SCIENCE
2026-07-13 20:11:41,"barang, dan transaksi terkait lainnya. cepat dan dapat diakses kapan pun ketika diperlukan.",MEDICAL
2026-07-14 12:39:24,"TINGKAT LITERASI KEUANGAN PADA MAHASISWA S-1 FAKULTAS EKONOMI Farah Margaretha1*, Reza Arief Pambudhi1 Jalan Kyai Tapa, Grogol, Jakarta 11440, Indones...",ECONOMY
2026-07-14 12:42:31,"TINGKAT LITERASI KEUANGAN PADA MAHASISWA S-1 FAKULTAS EKONOMI Farah Margaretha1*, Reza Arief Pambudhi1 Jalan Kyai Tapa, Grogol, Jakarta 11440, Indones...",ECONOMY
2026-07-14 12:50:10,"TINGKAT LITERASI KEUANGAN PADA MAHASISWA S-1 FAKULTAS EKONOMI Farah Margaretha1*, Reza Arief Pambudhi1 Jalan Kyai Tapa, Grogol, Jakarta 11440, Indones...",ECONOMY
2026-07-14 12:52:25,"TINGKAT LITERASI KEUANGAN PADA MAHASISWA S-1 FAKULTAS EKONOMI Farah Margaretha1*, Reza Arief Pambudhi1 Jalan Kyai Tapa, Grogol, Jakarta 11440, Indones...",ECONOMY
2026-07-14 12:54:07,"TINGKAT LITERASI KEUANGAN PADA MAHASISWA S-1 FAKULTAS EKONOMI Farah Margaretha1*, Reza Arief Pambudhi1 Jalan Kyai Tapa, Grogol, Jakarta 11440, Indones...",ECONOMY
2026-07-14 12:56:13,Available online at www.medicinescience.org Medicine Science ORIGINAL ARTICLE Medicine Science 2021;10(4):1162-7 Human rights in health / why patient ...,MEDICAL
2026-07-16 00:42:15,"Balance Sheet Approach for Fiscal Sustainability in Indonesia Jaka Sriyana1*, Abdul Hakim2 This paper models fiscal sustainability in Indonesia using ...",ECONOMY
2026-07-20 02:45:14,Discretization Numerical Data for Relational Data with One-to-Many Relations  Abstract: Problem statement: Handling numerical data stored in a relatio...,COMPUTER SCIENCE
2026-07-20 03:22:36,"Balance Sheet Approach for Fiscal Sustainability in Indonesia Jaka Sriyana1*, Abdul Hakim2 This paper models fiscal sustainability in Indonesia using ...",ECONOMY
2026-07-22 16:25:29,Towards sustainable AI knowledge-base assistants in computer science education: on-premise deployment and optimization with open educational resources...,COMPUTER SCIENCE
2026-07-22 17:15:32,"Adoption of artificial intelligence in healthcare: survey of health system priorities, successes, and challenges Eric G Poon, MD, MPH, Christy Harris ...",MEDICAL
2026-07-24 01:00:39,Dokumen Rancangan Perangkat Lunak Aisyah Mukti Pratiwi (10122100) Dandy Fidrian (10122314) Salwa Putri Prabowo (11122344) Yola Regina Br Ginting (1112...,COMPUTER SCIENCE
2026-07-24 20:34:04,Computers and Education: Arti(cid:999)cial Intelligence 10 (2026) 100595 Contents lists available at ScienceDirect Computers and Education: Artificial...,COMPUTER SCIENCE
2026-07-24 21:32:54,Computers and Education: Arti(cid:999)cial Intelligence 10 (2026) 100595 Contents lists available at ScienceDirect Computers and Education: Artificial...,COMPUTER SCIENCE
2026-07-24 21:56:59,LLMs and IoT: A Comprehensive Survey on Large Language Models and the Internet of Things ABSTRACT The Internet of Things (IoT) has emerged as a techno...,COMPUTER SCIENCE
2026-07-24 22:13:56,Artificial Intelligence in Science Education Research: Current States and Challenges Abstract The recent surge of artificial intelligence (AI) in scie...,COMPUTER SCIENCE
2026-07-24 22:36:54,PENERAPAN INTERAKSI MANUSIA DAN KOMPUTER PADA ANTARMUKA SISTEM INFORMASI AKADEMIKAbstrak: Systematic literatur review (SLR) adalah penelitian yang dil...,COMPUTER SCIENCE
2026-07-24 22:42:33,Integrasi Internet of Things (IoT) dan Big Data dalam Kehidupan Keseharian: Transformasi Pola Aktivitas Manusia di Era Digital  Abstrak Transformasi d...,COMPUTER SCIENCE
2026-07-25 01:23:40,The impact of circular economy policies on business models within global value chains: a study of the French textile industry Abstract Drawing on a qu...,ECONOMY
